DAI
day-profitability;day-variability;(log of) market capitalization
0.999499;1.0149203337781565;16.833031720184753
0.9992652167210246;1.0075861158663577;16.848521226900747
1.0026691051579304;1.0146032549677888;16.8558044489244
1.01;1.013730528344307;16.872941840679747
0.997617;1.0152600623832073;16.83693918409551
0.9900990099009901;1.0134019904820484;16.844279849592443
1.0;1.03982848946562;16.861441622155052
1.02;1.031308730779359;16.852547813381353
1.0;1.044724344917264;16.875531930927824
1.0;1.0641671952725937;16.87556104714036
1.01;1.0466089868825008;16.889945688145986
1.0;1.031566960326137;16.89966488803149
0.9900990099009901;1.021473986963188;16.895146706052895
1.01;1.0324012032534808;16.896295537396725
0.9900990099009901;1.0396419554645926;16.908493627109127
0.9985682270916335;1.0364020996287242;16.917184208443516
0.9963899279088967;1.0298536396239217;16.930297991015227
1.0;1.1606629372091808;16.656700825132756
1.0000821369222495;1.0916801377196483;16.68560069386461
0.9838990099009901;1.0184757552350663;16.695704306312667
1.0019725111329612;1.0361536351723368;16.7140049599094
1.0;1.0255774965957936;16.72061804310462
0.9975543176546258;1.0242857128369367;16.724145850864748
0.998569;1.019559388829667;16.727676042390943
1.0016452061364367;1.0237977218980197;16.721361503793343
0.993537214376537;1.0317303036555943;16.72318689098022
1.0145223369169925;1.0502590124064421;16.73812693632419
1.0071527991797748;1.0415634372806901;16.761336101721376
0.986225;1.0374161421951726;16.743442409495056
1.016388244047014;1.0477936314492715;16.750712055298195
0.999335;1.0496858076364133;16.755770448470425
0.996897;1.0472172996231035;16.769991838741415
1.0105790618024129;1.0381934224902933;16.796442900842166
0.9806207920792078;1.032928128455752;16.78708327557795
0.9964293778931919;1.0573179231812335;16.7835367379516
1.0081853067565747;1.0405392033346221;16.807160409762727
1.0179840488954874;1.0437377800007441;16.823534330588277
0.9900990099009901;1.0289612232936645;16.815950682178173
1.0;1.022590129676578;16.829306693135198
1.0;1.0332106311296234;16.847876788439038
0.9886950495049505;1.0293994463445724;16.862406272475223
0.998211;1.0186103129755826;16.890331099243483
1.0017122513846137;1.0509978867799772;16.962501218410193
0.998662151721014;1.0344040767690084;16.999197368249227
1.0;1.019265119940257;17.01326684719302
1.0007555712118361;1.0207144394711285;17.024003789767455
1.0;1.0163972040019886;17.03861490999683
0.996413;1.020036135537554;17.03908014985273
1.000295800732583;1.0299648384280902;17.059145490772956
0.9981679129332927;1.0098092874179783;17.068647509853193
0.9953785761555819;1.0118190584214206;17.087138250983955
1.0067926515860115;1.022861459998015;17.106111704441727
0.9957054716918758;1.0224006980668527;17.111577249408565
1.0063556180132338;1.027406317836791;17.11321471652924
1.002409793142715;1.031100439391712;17.13263217677481
0.984276;1.0558384792645625;17.13766141337715
0.9983594714794217;1.0359073939413637;17.17308424623287
1.008584881490104;1.0375090019163402;17.21440362005352
0.9963134130039621;1.0462804729187738;17.215229413812292
1.0057114352407321;1.0797530014077534;17.227836223285383
1.0;1.0212645479640434;17.225072558457022
0.995504;1.0195141056337744;17.224556525406165
1.0027684863361317;1.0220985809021386;17.231738610994856
1.003293813590016;1.0309903572078356;17.255029626982225
0.9954357661220843;1.021816283502422;17.264078270913206
1.015450940649406;1.0181318188370514;17.288063608618657
0.9900990099009901;1.0242526971987693;17.289723677414067
1.0;1.0202576706204176;17.307456062388358
0.995922;1.0285121909244492;17.31516392377143
0.9985298314581902;1.0196087932677553;17.33152572400821
0.9999366209935413;1.022932941175279;17.35023585307823
1.0253698619671219;1.05104224987721;17.38950040516669
0.9803921568627451;1.054842691512269;17.387477697234413
0.9796762376237624;1.0409937203584694;17.380365683761923
1.0070409076430704;1.0548865591223344;17.384217589734668
1.0058024744752476;1.0270928797040346;17.394391675000143
0.9958963516235566;1.0222589290774973;17.394163063408747
1.0034891317109589;1.0244124588840395;17.431117379392845
0.999485;1.0242306608011715;17.43233630923693
1.0004762266839016;1.0354174269979457;17.442379865240124
0.999266;1.0174087706680044;17.4419445256811
1.02;1.02425064015665;17.460768346926617
0.987790099009901;1.032464949333301;17.449257541687057
1.0446277007141638;1.0709499223816294;17.449306702542827
0.9711538461538461;1.0856184235591488;17.42288221710488
0.9900990099009901;1.0537558723870948;17.428098183969084
0.986146;1.0365621906827287;17.414436338047548
1.0208640350611204;1.0329194496686989;17.44246620293328
0.9824643564356436;1.0344619210469983;17.44173850940088
1.0039951335497321;1.0324675258295775;17.507134492544015
1.005858117677353;1.0337588803470155;17.518170893037265
